Date,Group1
2023-08-31T00:00:00+02:00,37.0
2023-08-31T01:00:00+02:00,25.0
2023-08-31T02:00:00+02:00,16.0
2023-08-31T03:00:00+02:00,13.0
2023-08-31T04:00:00+02:00,24.0
2023-08-31T05:00:00+02:00,38.0
2023-08-31T06:00:00+02:00,51.0
2023-08-31T07:00:00+02:00,57.0
2023-08-31T08:00:00+02:00,94.0
2023-08-31T09:00:00+02:00,110.0
2023-08-31T10:00:00+02:00,70.0
2023-08-31T11:00:00+02:00,48.0
2023-08-31T12:00:00+02:00,72.0
2023-08-31T13:00:00+02:00,68.0
2023-08-31T14:00:00+02:00,61.0
2023-08-31T15:00:00+02:00,78.0
2023-08-31T16:00:00+02:00,82.0
2023-08-31T17:00:00+02:00,86.0
2023-08-31T18:00:00+02:00,82.0
2023-08-31T19:00:00+02:00,78.0
2023-08-31T20:00:00+02:00,105.0
2023-08-31T21:00:00+02:00,95.0
2023-08-31T22:00:00+02:00,105.0
2023-08-31T23:00:00+02:00,86.0
2023-09-14T00:00:00+02:00,66.0
2023-09-14T01:00:00+02:00,65.0
2023-09-14T02:00:00+02:00,57.0
2023-09-14T03:00:00+02:00,49.0
2023-09-14T04:00:00+02:00,50.0
2023-09-14T05:00:00+02:00,40.0
2023-09-14T06:00:00+02:00,32.0
2023-09-14T07:00:00+02:00,26.0
2023-09-14T08:00:00+02:00,22.0
2023-09-14T09:00:00+02:00,18.0
2023-09-14T10:00:00+02:00,12.0
2023-09-14T11:00:00+02:00,9.0
2023-09-14T12:00:00+02:00,7.0
2023-09-14T13:00:00+02:00,3.0
2023-09-14T14:00:00+02:00,0.0
2023-09-14T15:00:00+02:00,2.0
2023-09-14T16:00:00+02:00,6.0
2023-09-14T17:00:00+02:00,14.0
2023-09-14T18:00:00+02:00,17.0
2023-09-14T19:00:00+02:00,13.0
2023-09-14T20:00:00+02:00,11.0
2023-09-14T21:00:00+02:00,11.0
2023-09-14T22:00:00+02:00,2.0
2023-09-14T23:00:00+02:00,0.0
2023-09-15T00:00:00+02:00,0.0
2023-09-15T01:00:00+02:00,2.0
2023-09-15T02:00:00+02:00,16.0
2023-09-15T03:00:00+02:00,14.0
2023-09-15T04:00:00+02:00,13.0
2023-09-15T05:00:00+02:00,28.0
2023-09-15T06:00:00+02:00,28.0
2023-09-15T07:00:00+02:00,35.0
2023-09-15T08:00:00+02:00,38.0
2023-09-15T09:00:00+02:00,43.0
2023-09-15T10:00:00+02:00,41.0
2023-09-15T11:00:00+02:00,31.0
2023-09-15T12:00:00+02:00,24.0
2023-09-15T13:00:00+02:00,17.0
2023-09-15T14:00:00+02:00,14.0
2023-09-15T15:00:00+02:00,15.0
2023-09-15T16:00:00+02:00,12.0
2023-09-15T17:00:00+02:00,8.0
2023-09-15T18:00:00+02:00,10.0
2023-09-15T19:00:00+02:00,26.0
2023-09-15T20:00:00+02:00,30.0
2023-09-15T21:00:00+02:00,24.0
2023-09-15T22:00:00+02:00,15.0
2023-09-15T23:00:00+02:00,1.0
2023-09-16T00:00:00+02:00,1.0
2023-09-16T01:00:00+02:00,15.0
2023-09-16T02:00:00+02:00,34.0
2023-09-16T03:00:00+02:00,97.0
2023-09-16T04:00:00+02:00,80.0
2023-09-16T05:00:00+02:00,34.0
2023-09-16T06:00:00+02:00,18.0
2023-09-16T07:00:00+02:00,4.0
2023-09-16T08:00:00+02:00,10.0
2023-09-16T09:00:00+02:00,36.0
2023-09-16T10:00:00+02:00,57.0
2023-09-16T11:00:00+02:00,81.0
2023-09-16T12:00:00+02:00,72.0
2023-09-16T13:00:00+02:00,70.0
2023-09-16T14:00:00+02:00,31.0
2023-09-16T15:00:00+02:00,30.0
2023-09-16T16:00:00+02:00,14.0
2023-09-16T17:00:00+02:00,6.0
2023-09-16T18:00:00+02:00,6.0
2023-09-16T19:00:00+02:00,8.0
2023-09-16T20:00:00+02:00,8.0
2023-09-16T21:00:00+02:00,10.0
2023-09-16T22:00:00+02:00,16.0
2023-09-16T23:00:00+02:00,16.0
2023-09-17T00:00:00+02:00,8.0
2023-09-17T01:00:00+02:00,21.0
2023-09-17T02:00:00+02:00,60.0
2023-09-17T03:00:00+02:00,95.0
2023-09-17T04:00:00+02:00,129.0
2023-09-17T05:00:00+02:00,138.0
2023-09-17T06:00:00+02:00,126.0
2023-09-17T07:00:00+02:00,77.0
2023-09-17T08:00:00+02:00,43.0
2023-09-17T09:00:00+02:00,23.0
2023-09-17T10:00:00+02:00,31.0
2023-09-17T11:00:00+02:00,58.0
2023-09-17T12:00:00+02:00,66.0
2023-09-17T13:00:00+02:00,127.0
2023-09-17T14:00:00+02:00,146.0
2023-09-17T15:00:00+02:00,49.0
2023-09-17T16:00:00+02:00,14.0
2023-09-17T17:00:00+02:00,17.0
2023-09-17T18:00:00+02:00,20.0
2023-09-17T19:00:00+02:00,33.0
2023-09-17T20:00:00+02:00,12.0
2023-09-17T21:00:00+02:00,6.0
2023-09-17T22:00:00+02:00,14.0
2023-09-17T23:00:00+02:00,41.0
2023-09-18T00:00:00+02:00,47.0
2023-09-18T01:00:00+02:00,39.0
2023-09-18T02:00:00+02:00,26.0
2023-09-18T03:00:00+02:00,28.0
2023-09-18T04:00:00+02:00,38.0
2023-09-18T05:00:00+02:00,40.0
2023-09-18T06:00:00+02:00,40.0
2023-09-18T07:00:00+02:00,36.0
2023-09-18T08:00:00+02:00,42.0
2023-09-18T09:00:00+02:00,68.0
2023-09-18T10:00:00+02:00,114.0
2023-09-18T11:00:00+02:00,113.0
2023-09-18T12:00:00+02:00,81.0
2023-09-18T13:00:00+02:00,93.0
2023-09-18T14:00:00+02:00,72.0
2023-09-18T15:00:00+02:00,69.0
2023-09-18T16:00:00+02:00,85.0
2023-09-18T17:00:00+02:00,123.0
2023-09-18T18:00:00+02:00,132.0
2023-09-18T19:00:00+02:00,162.0
2023-09-18T20:00:00+02:00,168.0
2023-09-18T21:00:00+02:00,140.0
2023-09-19T00:00:00+02:00,36.0
2023-09-19T07:00:00+02:00,62.0
2023-09-19T08:00:00+02:00,92.0
2023-09-19T09:00:00+02:00,114.0
